goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay01V1-28         	   15666	     74156 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16267	     73527 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16347	     73328 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16347	     73375 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16496	     72881 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16390	     73177 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16272	     73559 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16321	     73494 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16437	     73219 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16320	     73410 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V2-28         	   64862	     18499 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   64384	     18487 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   64336	     18435 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   65120	     18409 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   62544	     18783 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   65251	     18461 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   64620	     18576 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   62818	     18522 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   64614	     18522 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   64395	     18557 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64915	     18514 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64455	     18588 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   63916	     18632 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   63792	     18626 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   62918	     18854 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64702	     18712 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64233	     18755 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   59544	     18996 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64206	     18516 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   64365	     18506 ns/op	       0 B/op	       0 allocs/op
