goos: linux
goarch: amd64
pkg: gitlab.com/jhinrichsen/adventofcode2023
cpu: Intel(R) Core(TM) i7-14700K
BenchmarkDay01V1-28         	   16909	     70749 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   17025	     70395 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16904	     70815 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16998	     70672 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16928	     70792 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16974	     70810 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16971	     70660 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16936	     70812 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16932	     71218 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V1-28         	   16814	     71079 ns/op	    4992 B/op	    2207 allocs/op
BenchmarkDay01V2-28         	   67927	     17633 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   68089	     17609 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   68593	     17517 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   68394	     17613 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   67780	     17579 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   67462	     17647 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   66834	     17637 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   67615	     17596 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   68358	     17665 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01V2-28         	   67653	     17661 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67663	     17698 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67819	     17706 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67370	     17773 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67203	     17665 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67446	     17528 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   68725	     17508 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67348	     17613 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   68202	     17741 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   68625	     17696 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part1-28      	   67902	     17522 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   68508	     17578 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   67555	     17522 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   68528	     17657 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   67993	     18224 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   67657	     17544 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   68502	     17641 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   67699	     17736 ns/op	       0 B/op	       0 allocs/op
BenchmarkDay01Part2-28      	   67598	     17661 ns/op	       0 B/op	       0 allocs/op
